日付	受領数量	出荷数量	廃棄数量	紛失数量	発見数量	返送数量	増加数量	減少数量	在庫数	在庫金額
2025/08/20	0	2	0	0	0	0	0	2	-2	-600
2025/08/21	178	0	0	0	0	0	178	0	176	287144
2025/08/22	0	0	0	0	0	0	0	0	176	287144
2025/08/23	75	2	0	0	0	0	75	2	249	341831
2025/08/24	512	16	0	0	0	0	512	16	745	1056245
2025/08/25	18	20	0	0	0	0	18	20	743	1046332
2025/08/26	14	19	0	0	0	0	14	19	738	1033174
2025/08/27	25	5	0	0	0	0	25	5	758	1061230
2025/08/28	5	9	0	0	0	0	5	9	754	1052155
2025/08/29	14	9	0	0	0	0	14	9	759	1060792
2025/08/30	9	6	0	0	0	0	9	6	762	1065975
2025/08/31	43	8	0	0	0	0	43	8	797	1108769
2025/09/01	68	16	0	0	0	0	68	16	849	1182253
2025/09/02	9	16	0	0	0	0	9	16	842	1172222
2025/09/03	12	13	0	0	0	0	12	13	841	1169283
2025/09/04	77	4	0	0	0	0	77	4	914	1315421
2025/09/05	353	12	0	0	0	0	353	12	1255	1697957
2025/09/06	35	23	0	0	0	0	35	23	1267	1710245
2025/09/07	16	15	0	0	0	0	16	15	1268	1712907
2025/09/08	26	16	0	0	0	0	26	16	1278	1727645
2025/09/09	11	7	0	0	0	0	11	7	1282	1733016
2025/09/10	10	14	0	0	0	0	10	14	1278	1724500
2025/09/11	14	9	0	0	0	0	14	9	1283	1732102
2025/09/12	8	6	0	0	0	0	8	6	1285	1734574
2025/09/13	6	10	0	0	0	0	6	10	1281	1731997
2025/09/14	64	13	0	0	0	37	64	50	1295	1753070
2025/09/15	48	17	0	0	0	0	48	17	1326	1821759
2025/09/16	15	6	0	0	0	12	15	18	1323	1818584
2025/09/17	4	10	0	0	0	7	4	17	1310	1805177
2025/09/18	11	9	0	0	0	2	11	11	1310	1806644
2025/09/19	100	5	0	0	0	0	100	5	1405	2038604
2025/09/20	14	11	0	0	0	0	14	11	1408	2042720
2025/09/21	5	8	0	0	0	0	5	8	1405	2036358
2025/09/22	17	14	0	0	0	0	17	14	1408	2042238
2025/09/23	11	19	0	0	0	0	11	19	1400	2033061
2025/09/24	15	27	0	0	0	0	15	27	1388	2008116
2025/09/25	612	17	0	0	0	0	612	17	1983	2812730
2025/09/26	71	10	0	0	0	0	71	10	2044	2927233
2025/09/27	0	12	0	0	0	0	0	12	2032	2911102
2025/09/28	10	12	0	0	0	0	10	12	2030	2900582
2025/09/29	9	13	0	0	0	0	9	13	2026	2899568
2025/09/30	16	14	0	0	0	0	16	14	2028	2898174
2025/10/01	20	23	0	0	0	0	20	23	2025	2889285
2025/10/02	17	11	0	0	0	0	17	11	2031	2905791
2025/10/03	16	14	0	0	0	0	16	14	2033	2913043
2025/10/04	24	47	0	0	0	0	24	47	2010	2880408
2025/10/05	31	29	0	0	0	0	31	29	2012	2880666
2025/10/06	22	16	0	0	0	0	22	16	2018	2885329
2025/10/07	26	35	0	0	0	0	26	35	2009	2870141
2025/10/08	20	28	0	0	0	0	20	28	2001	2860551
2025/10/09	97	14	0	0	0	0	97	14	2084	2946796
2025/10/10	145	34	0	0	0	0	145	34	2195	3094645
2025/10/11	74	23	0	0	0	0	74	23	2246	3193990
2025/10/12	21	12	0	0	0	0	21	12	2255	3208392
2025/10/13	34	11	0	0	0	0	34	11	2278	3236166
2025/10/14	59	7	0	0	0	0	59	7	2330	3289320
2025/10/15	465	26	0	0	0	0	465	26	2769	4091175
2025/10/16	76	41	0	0	0	0	76	41	2804	4162696
2025/10/17	36	25	0	0	0	0	36	25	2815	4175905
2025/10/18	28	33	0	0	0	0	28	33	2810	4169547
2025/10/19	29	22	0	0	0	0	29	22	2817	4178168